카테고리,상품명,창고,설명,공급가,택배사,택배비,면과세,사진,노출
간편식품·밀키트,쫀득 돈볼살 200g,하남,하남 공급,3000,롯데택배,4000,과세,,표시
축산물,맛상 찰순대 500g,하남,하남 공급,2900,롯데택배,4000,과세,,표시
축산물,맛상 생무뼈닭발 1kg,하남,하남 공급,16000,롯데택배,4000,면세,,표시
수산물,맛상 낙지호롱 900g,하남,하남 공급,13400,롯데택배,4000,면세,,표시
축산물,한돈 수제 돼지갈비 1kg,하남,하남 공급,11900,롯데택배,4000,과세,,표시
축산물,맛상 국내산 등갈비 1kg,하남,하남 공급,9200,롯데택배,4000,면세,,표시
축산물,맛상 소곱창 400g,하남,하남 공급,10200,롯데택배,4000,과세,,표시
축산물,맛있는 양념 LA갈비 500g,하남,하남 공급,8800,롯데택배,4000,과세,,표시
축산물,소찜갈비 1kg,하남,하남 공급,18500,롯데택배,4000,면세,,표시
간편식품·밀키트,맛상 소왕구이 10대,하남,하남 공급,18000,롯데택배,4000,과세,,표시
축산물,맛상 병천순대 500g,하남,하남 공급,4100,롯데택배,4000,과세,,표시
축산물,맛상 미니족발 300g,하남,하남 공급,3500,롯데택배,4000,과세,,표시
수산물,맛상 새우까스 20장,하남,하남 공급,7500,롯데택배,4000,과세,meal-2.webp,표시
축산물,맛상 닭근위 1kg,하남,하남 공급,4100,롯데택배,4000,면세,,표시
떡·간식,맛상 담양 한돈 떡갈비 400g,하남,하남 공급,5500,롯데택배,4000,과세,,표시
간편식품·밀키트,맛상 삐카돈까스 1kg,하남,하남 공급,2800,롯데택배,4000,과세,,표시
떡·간식,맛상 문방구 강정소스 1팩,하남,하남 공급,1500,롯데택배,4000,과세,,표시
축산물,맛상 닭껍질 1kg,하남,하남 공급,2800,롯데택배,4000,면세,,표시
간편식품·밀키트,양평해장국 600g,하남,하남 공급,2800,롯데택배,4000,면세,meal-5.webp,표시
수산물,맛상 코다리 1마리,하남,하남 공급,2500,롯데택배,4000,면세,,표시
축산물,맛상 초벌 돼지막창 300g,하남,하남 공급,7000,롯데택배,4000,과세,,표시
축산물,맛상 닭목살 1kg,하남,하남 공급,6500,롯데택배,4000,면세,,표시
축산물,국내산 닭안창살 1kg,하남,하남 공급,6300,롯데택배,4000,면세,,표시
간편식품·밀키트,맛상 깐 다슬기 300g,하남,하남 공급,8500,롯데택배,4000,면세,,표시
축산물,맛상 두부순대 500g,하남,하남 공급,4100,롯데택배,4000,과세,,표시
축산물,맛상 토종순대 500g,하남,하남 공급,4100,롯데택배,4000,과세,,표시
축산물,맛상 명품 오리주물럭 500g,하남,하남 공급,6000,롯데택배,4000,과세,meal-9.webp,표시
축산물,맛상 통뼈 국물닭발 매운맛 900g,하남,하남 공급,8000,롯데택배,4000,과세,,표시
간편식품·밀키트,맛상 쯔란 1팩,하남,하남 공급,1800,롯데택배,4000,과세,,표시
축산물,맛상 닭연골 1kg,하남,하남 공급,5000,롯데택배,4000,면세,,표시
간편식품·밀키트,맛상 메추리 10마리,하남,하남 공급,14000,롯데택배,4000,면세,,표시
수산물,맛상 섬진강 재첩국 500g,하남,하남 공급,5000,롯데택배,4000,과세,,표시
수산물,탱글 낙지 1kg,마진,마진 공급,9200,씨제이대한통운,4000,면세,,표시
축산물,한돈 진짜양념갈비 300g,마진,마진 공급,5000,씨제이대한통운,4000,과세,,표시
수산물,특왕 탱글 쭈꾸미 1kg,마진,마진 공급,13500,씨제이대한통운,4000,면세,,표시
수산물,탱글 쭈꾸미 1kg,마진,마진 공급,12500,씨제이대한통운,4000,면세,,표시
수산물,법성포 영광굴비 20마리,마진,마진 공급,16500,씨제이대한통운,4000,면세,,표시
축산물,상다리 부러지는 한우모듬,생고,생고 공급,50000,한진택배,4000,면세,,표시
간편식품·밀키트,초특가 투뿔세트,생고,생고 공급,30000,한진택배,4000,면세,,표시
축산물,투뿔 한우 다짐육 300g,생고,생고 공급,7600,한진택배,4000,면세,,표시
